state,cases_per_100k,deaths_per_100k,death_rate,pct_full_max,pct_full_asof_2022-03-01,pct_full_growth_pp_2021-09-01_to_2022-09-01,trump_pct,biden_pct,FMNOENF,AGEPRIORITY,stayhome_days_since_earliest_adoption,stayhome_duration_days,clbsns_days_since_earliest_adoption,clbsns_duration_days,FM_ALL_days_since_earliest_adoption,population_65_plus_percent,hs_pct,bachelors_pct,advanced_pct,median_household_income_2019,white_non_latino_percent_2020
Nevada,28451.688973868702,385.3728489483748,0.0135448144854359,63.66,59.73,14.0,47.7,50.1,0.0,0.0,12.0,39.0,2.0,49.0,79.0,16.5,87.16,27.57,9.64,63276,45.9
New Hampshire,27795.68081991215,220.9370424597365,0.0079486105733903,71.86,63.96,4.240000000000002,45.5,52.9,0.0,1.0,9.0,80.0,9.0,44.0,226.0,19.3,94.44,40.98,15.72,77933,87.2
New Jersey,34422.90024769196,406.4062148164828,0.0118062746570499,79.06,74.29,15.560000000000002,41.4,57.3,0.0,1.0,2.0,80.0,2.0,58.0,0.0,17.0,90.98,43.1,17.4,85751,51.8
New Mexico,31982.003798670463,432.5735992402659,0.013525531482122,75.12,69.69,12.669999999999996,43.5,54.3,1.0,0.0,5.0,0.0,5.0,53.0,37.0,18.5,87.48,30.05,14.08,51945,36.5
New York,35193.003051145475,414.2783265242799,0.0117716105648107,80.72,75.55,18.2,41.5,57.1,0.0,0.0,3.0,97.0,3.0,78.0,9.0,17.4,88.03,39.93,17.72,72108,52.5
North Carolina,32843.429865107064,280.59617017262525,0.0085434490650055,67.06,59.37,17.029999999999994,50.1,48.7,0.0,1.0,11.0,53.0,11.0,39.0,79.0,17.1,89.7,34.91,13.19,57341,60.5
North Dakota,37660.91503267974,330.5882352941176,0.0087780192012662,58.61,54.47,14.990000000000002,65.5,31.9,0.0,1.0,-1.0,0.0,1.0,42.0,220.0,16.1,93.62,31.74,9.38,64577,81.7
Ohio,29207.6798084324,359.7109381681348,0.0123156286472397,60.4,57.63,10.830000000000004,53.3,45.3,1.0,1.0,5.0,57.0,5.0,41.0,106.0,17.9,91.74,30.72,11.79,58642,75.9
Oklahoma,32550.41446872645,415.6995729716151,0.012770945616407,60.42,56.03,14.619999999999996,65.4,32.3,0.0,1.0,-1.0,0.0,13.0,23.0,-1.0,16.4,88.71,27.92,9.62,54449,60.8
Oregon,22799.528524281,222.7958510136728,0.0097719499232802,72.31,68.71,12.560000000000002,40.7,56.9,1.0,0.0,4.0,88.0,4.0,53.0,84.0,18.6,91.87,36.33,13.88,67058,71.7
Pennsylvania,27686.26300555425,396.6283345067668,0.0143258169015875,73.26,67.02,15.309999999999995,48.8,50.0,0.0,1.0,13.0,65.0,2.0,76.0,84.0,19.1,91.89,34.54,13.94,63463,73.5
Puerto Rico,34913.974869751764,179.2215752375115,0.0051332332083673,83.98,77.99,14.859999999999992,,,,,,,,,,22.7,79.65,28.48,7.93,20474,0.7
Rhode Island,43688.55250709555,370.3878902554399,0.0084779162732682,87.62,80.72,19.97,38.8,59.7,1.0,1.0,9.0,42.0,11.0,40.0,10.0,18.2,89.14,36.5,15.61,71169,68.7
South Carolina,35271.330011498656,386.9681870448448,0.0109711821731329,59.85,55.92,14.86,55.1,43.4,0.0,1.0,19.0,27.0,13.0,19.0,-1.0,18.7,89.61,31.53,11.95,56227,62.1
South Dakota,31413.773796192607,360.8062709966405,0.011485607343374,66.2,59.92,14.35,61.8,35.6,0.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,17.6,93.05,31.67,10.11,59533,79.6
Tennessee,35707.15841440395,421.59140409467113,0.0118069155546302,56.24,53.61,13.43,60.7,37.4,0.0,1.0,14.0,27.0,13.0,26.0,-1.0,17.1,89.74,30.48,11.28,56071,70.9
Texas,28770.02826879193,321.9168284458976,0.0111893122049898,63.19,60.1,14.019999999999996,52.1,46.5,0.0,1.0,-1.0,0.0,14.0,29.0,86.0,13.2,85.39,33.12,11.9,64034,39.7
Utah,33632.276923076926,163.56923076923076,0.0048634599180823,66.62,63.26,17.630000000000003,58.2,37.7,1.0,1.0,-1.0,0.0,8.0,35.0,2.0,11.7,93.17,36.81,12.69,75780,75.4
Vermont,24590.369181380414,150.7223113964687,0.0061293228371127,85.59,80.05,14.909999999999997,30.8,66.4,1.0,1.0,5.0,52.0,6.0,33.0,115.0,20.6,94.55,44.44,18.42,63001,89.1
Virginia,26752.41531835642,276.8245838668374,0.0103476482617586,76.53,72.03,17.25,44.2,54.4,0.0,0.0,11.0,60.0,6.0,65.0,51.0,16.3,91.38,41.81,18.33,76456,58.6
Washington,25223.602807382376,206.71952170522485,0.0081954795785446,75.97,71.48,14.380000000000004,39.0,58.4,0.0,0.0,4.0,70.0,6.0,68.0,79.0,16.2,92.35,38.97,15.13,78687,63.8
West Virginia,36174.22969187675,455.5742296918767,0.0125938888974926,59.66,56.8,18.98,68.6,29.7,1.0,1.0,5.0,42.0,5.0,41.0,90.0,20.9,88.82,24.12,9.94,48850,89.1
Wisconsin,34536.670666895254,282.61614949425683,0.0081830745128874,68.14,64.61,12.590000000000003,48.9,49.6,0.0,0.0,6.0,49.0,6.0,47.0,115.0,18.0,93.33,32.54,11.04,64168,78.6
Wyoming,31924.398625429552,346.0481099656357,0.0108396124865446,52.99,50.63,13.220000000000006,70.4,26.7,0.0,0.0,-1.0,0.0,0.0,43.0,-1.0,17.8,93.59,29.24,10.72,65003,81.4
